_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
632fc494223bd1e9ced3bca2||31.2|96.3|31.2|51.19|78,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1664074900000
632e6f78223bd1e9ce29b0d4||28.78|95|30.78|57.46|72,1,0,0|time|30|-1|0|30.02|1|0|false|false|english_1k|none|normal|false|false|false||1663987576000
632d8a7393d748e72c3decfa||26|94.67|30|53.02|65,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663928947000
632be2028e3e35732d188af1||26.4|97.22|28.8|50.1|66,1,0,0|time|30|-1|2|30|1|22.26|false|false|english_1k|none|normal|false|false|false||1663820290000
632a727d5094b44afd406d78||28.39|97.26|28.39|50.69|71,0,0,0|time|30|-1|1|30.01|1|2.62|false|false|english_1k|none|normal|false|false|false||1663726204000
632955e074372078d63f4493||29.58|95.24|33.58|61.55|74,2,0,0|time|30|-1|1|30.02|1|2.81|false|false|english_1k|none|normal|false|false|false||1663653344000
6327f79c74372078d68e2bbb||27.19|97.18|27.99|53.16|68,1,0,0|time|30|-1|2|30.01|1|10.45|false|false|english_1k|none|normal|false|false|false||1663563676000
6326b3c26d362617a719e8a3||25.59|92.86|25.59|50.2|64,0,0,0|time|30|-1|1|30.01|0|12.12|false|false|english_1k|none|normal|false|false|false||1663480770000
6325728c6d362617a78ef6c4||29.6|94.25|34.8|66.28|74,3,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663398540000
6323fb0790677ffc5e22d760||27.2|97.26|29.2|49.58|68,1,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1663302407000
6322ad9d90677ffc5e8572e7||24.8|90.36|33.2|64.25|62,5,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663217053000
632160ad90677ffc5eed0ef6||29.59|100|29.59|53.56|74,0,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1663131821000
6320542e90677ffc5e9ee7ed||27.2|93.67|31.6|55.67|68,3,0,0|time|30|-1|1|30|0|3.22|false|false|english_1k|none|normal|false|false|false||1663063086000
631ee6bcfba87af969b9bf71||27.2|92.68|32.8|58.92|68,3,1,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662969532000
631d82defba87af969089069||28.4|100|28.4|54.44|71,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662878430000
631c2310fba87af9695d59c8||28.4|95.12|32.8|67.37|71,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1662788368000
631ac58f2193818996a3c93d||26.39|97.18|28.39|59.96|66,1,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1662698895000
6319c00023439691db748003|true|31.2|100|31.2|62.07|78,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662631936000
63186191add072eedc957fd5||17.6|85.9|31.2|57.21|44,6,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662542225000
63171c22d7e9821dfa852a33||17.99|90.91|26.39|49.77|45,3,0,0|time|30|-1|0|30.01|2|0|false|false|english_1k|none|normal|false|false|false||1662458914000
6315c63418d8136fe0fabb2e||12|83.82|27.2|46.81|30,6,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1662371380000
63144b2a50d49477cec9d995||23.58|94.12|27.18|46.81|59,2,0,0|time|30|-1|0|30.02|2|0|false|false|english_1k|none|normal|false|false|false||1662274346000
63131ff650d49477ce63c4b5||22|95.08|24.4|55.18|55,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1662197750000
6311ec0a50d49477ceefbd8c|true|25.19|100|25.19|53.49|63,0,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1662118922000
631089b350d49477ce4910b6||15.6|85|24|46.93|39,4,2,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662028211000
630f410250d49477cebcc594||14|79.69|25.59|45.09|35,7,1,0|time|30|-1|0|30.01|3|0|false|false|english_1k|none|normal|false|false|false||1661944066000
630def43c4bb23a266f72d48||24.4|95.45|26.4|43.47|61,2,0,0|time|30|-1|1|30|3|1.29|false|false|english_1k|none|normal|false|false|false||1661857603000
